Event,Sport,Slug
Basketball Men's Basketball,Basketball,basketball-men-s-basketball
Judo Men's Extra-Lightweight,Judo,judo-men-s-extra-lightweight
Football Men's Football,Football,football-men-s-football
Tug-Of-War Men's Tug-Of-War,Tug-Of-War,tug-of-war-men-s-tug-of-war
Speed Skating Women's 500 metres,Speed Skating,speed-skating-women-s-500-metres
"Speed Skating Women's 1,000 metres",Speed Skating,speed-skating-women-s-1000-metres
Cross Country Skiing Men's 10 kilometres,Cross Country Skiing,cross-country-skiing-men-s-10-kilometres
Cross Country Skiing Men's 50 kilometres,Cross Country Skiing,cross-country-skiing-men-s-50-kilometres
Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing,cross-country-skiing-men-s-10-15-kilometres-pursuit
Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,cross-country-skiing-men-s-4-x-10-kilometres-relay
Cross Country Skiing Men's 30 kilometres,Cross Country Skiing,cross-country-skiing-men-s-30-kilometres
Athletics Women's 100 metres,Athletics,athletics-women-s-100-metres
Athletics Women's 4 x 100 metres Relay,Athletics,athletics-women-s-4-x-100-metres-relay
Ice Hockey Men's Ice Hockey,Ice Hockey,ice-hockey-men-s-ice-hockey
Swimming Men's 400 metres Freestyle,Swimming,swimming-men-s-400-metres-freestyle
Badminton Men's Singles,Badminton,badminton-men-s-singles
Sailing Women's Windsurfer,Sailing,sailing-women-s-windsurfer
Biathlon Women's 7.5 kilometres Sprint,Biathlon,biathlon-women-s-7-5-kilometres-sprint
Swimming Men's 200 metres Breaststroke,Swimming,swimming-men-s-200-metres-breaststroke
Swimming Men's 400 metres Breaststroke,Swimming,swimming-men-s-400-metres-breaststroke
Gymnastics Men's Individual All-Around,Gymnastics,gymnastics-men-s-individual-all-around
Gymnastics Men's Team All-Around,Gymnastics,gymnastics-men-s-team-all-around
Gymnastics Men's Floor Exercise,Gymnastics,gymnastics-men-s-floor-exercise
Gymnastics Men's Horse Vault,Gymnastics,gymnastics-men-s-horse-vault
Gymnastics Men's Parallel Bars,Gymnastics,gymnastics-men-s-parallel-bars
Gymnastics Men's Horizontal Bar,Gymnastics,gymnastics-men-s-horizontal-bar
Gymnastics Men's Rings,Gymnastics,gymnastics-men-s-rings
Gymnastics Men's Pommelled Horse,Gymnastics,gymnastics-men-s-pommelled-horse
Athletics Men's Shot Put,Athletics,athletics-men-s-shot-put
"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions,art-competitions-mixed-sculpturing-unknown-event
Alpine Skiing Men's Downhill,Alpine Skiing,alpine-skiing-men-s-downhill
Alpine Skiing Men's Super G,Alpine Skiing,alpine-skiing-men-s-super-g
Alpine Skiing Men's Giant Slalom,Alpine Skiing,alpine-skiing-men-s-giant-slalom
Alpine Skiing Men's Slalom,Alpine Skiing,alpine-skiing-men-s-slalom
Alpine Skiing Men's Combined,Alpine Skiing,alpine-skiing-men-s-combined
Handball Women's Handball,Handball,handball-women-s-handball
Weightlifting Women's Super-Heavyweight,Weightlifting,weightlifting-women-s-super-heavyweight
"Wrestling Men's Light-Heavyweight, Greco-Roman",Wrestling,wrestling-men-s-light-heavyweight-greco-roman
Speed Skating Men's 500 metres,Speed Skating,speed-skating-men-s-500-metres
"Speed Skating Men's 1,500 metres",Speed Skating,speed-skating-men-s-1500-metres
"Gymnastics Men's Team All-Around, Free System",Gymnastics,gymnastics-men-s-team-all-around-free-system
Luge Women's Singles,Luge,luge-women-s-singles
Water Polo Men's Water Polo,Water Polo,water-polo-men-s-water-polo
Sailing Mixed Three Person Keelboat,Sailing,sailing-mixed-three-person-keelboat
Hockey Women's Hockey,Hockey,hockey-women-s-hockey
Rowing Men's Lightweight Double Sculls,Rowing,rowing-men-s-lightweight-double-sculls
Athletics Men's Pole Vault,Athletics,athletics-men-s-pole-vault
Athletics Men's High Jump,Athletics,athletics-men-s-high-jump
Sailing Men's Two Person Dinghy,Sailing,sailing-men-s-two-person-dinghy
"Athletics Men's 1,500 metres",Athletics,athletics-men-s-1500-metres
Bobsleigh Men's Four,Bobsleigh,bobsleigh-men-s-four
Swimming Men's 100 metres Butterfly,Swimming,swimming-men-s-100-metres-butterfly
Swimming Men's 200 metres Butterfly,Swimming,swimming-men-s-200-metres-butterfly
Swimming Men's 4 x 100 metres Medley Relay,Swimming,swimming-men-s-4-x-100-metres-medley-relay
Football Women's Football,Football,football-women-s-football
"Fencing Men's Foil, Individual",Fencing,fencing-men-s-foil-individual
"Fencing Men's epee, Individual",Fencing,fencing-men-s-epee-individual
"Fencing Men's epee, Team",Fencing,fencing-men-s-epee-team
"Speed Skating Men's 5,000 metres",Speed Skating,speed-skating-men-s-5000-metres
"Speed Skating Men's 10,000 metres",Speed Skating,speed-skating-men-s-10000-metres
Sailing Mixed 8 metres,Sailing,sailing-mixed-8-metres
